Id,Client_Id,Asset,Market_Value,Date_Market_Value
1,11,Property,448,2022-10-24
2,21,Stocks,,2022-12-09
3,10,Cars,40456,2022-11-12
4,24,Savings,33160,2022-12-01
5,21,Stocks,,2022-10-28
6,9,Stocks,,2022-11-06
7,22,Savings,44195,2022-11-08
8,5,Stocks,,2022-11-12
9,24,Savings,19807,2022-11-08
10,21,Stocks,,2022-10-25
11,17,Stocks,,2022-11-19
12,23,Cars,37568,2022-11-15
13,22,Stocks,,2022-11-01
14,26,Savings,3906,2022-12-09
15,2,Property,69184,2022-12-04
16,8,Cars,67757,2022-11-17
17,21,Cars,92481,2022-12-02
18,19,Savings,37400,2022-11-29
19,20,Stocks,,2022-11-01
20,15,Cars,51135,2022-11-07
21,19,Property,32536,2022-11-19
22,5,Savings,56552,2022-10-29
23,12,Cars,30884,2022-11-17
24,20,Property,95060,2022-11-07
25,14,Stocks,,2022-10-22
26,9,Property,10707,2022-11-07
27,17,Savings,74986,2022-10-30
28,20,Property,9006,2022-11-14
29,15,Savings,45444,2022-11-07
30,9,Cars,43317,2022-12-03
31,9,Property,28889,2022-12-01
32,2,Savings,40972,2022-11-08
33,3,Property,26350,2022-11-21
34,11,Cars,37280,2022-12-02
35,22,Cars,22594,2022-10-26
36,4,Property,9595,2022-11-05
37,18,Property,98863,2022-11-21
38,4,Savings,14974,2022-12-06
39,22,Property,69044,2022-12-05
40,11,Savings,58030,2022-11-11
41,10,Stocks,,2022-12-07
42,13,Savings,45960,2022-11-06
43,14,Property,23909,2022-11-20
44,23,Stocks,,2022-11-11
45,7,Property,3560,2022-11-04
46,4,Stocks,,2022-11-16
47,6,Stocks,,2022-11-19
48,13,Cars,14346,2022-11-22
49,22,Stocks,,2022-10-24
50,7,Savings,16554,2022-12-09
51,9,Savings,16076,2022-11-22
52,3,Savings,55773,2022-11-12
53,8,Cars,89332,2022-11-08
54,14,Property,71749,2022-11-24
55,23,Property,91867,2022-12-09
56,16,Savings,27514,2022-10-27
57,16,Property,83528,2022-10-30
58,10,Stocks,,2022-11-27
59,20,Savings,62214,2022-11-24
60,7,Stocks,,2022-11-22
61,20,Cars,52720,2022-10-29
62,12,Savings,83148,2022-11-03
63,13,Savings,99673,2022-11-29
64,9,Savings,79831,2022-10-26
65,7,Savings,50651,2022-11-07
66,16,Savings,536,2022-11-04
67,13,Cars,21475,2022-10-22
68,26,Stocks,,2022-10-24
69,9,Savings,87696,2022-11-19
70,20,Property,73308,2022-11-18
71,13,Property,37324,2022-11-14
72,22,Property,42516,2022-11-19
73,24,Savings,65138,2022-11-10
74,18,Stocks,,2022-10-25
75,9,Savings,43733,2022-11-20
76,5,Stocks,,2022-11-19
77,24,Stocks,,2022-11-01
78,18,Savings,91171,2022-11-06
79,9,Savings,10577,2022-10-30
80,16,Property,11135,2022-11-01
